source_text,translated_text
Settled,Rozstrzygnięty
Maintenance Visit,Kontrola serwisowa
Visit Helpdesk,Odwiedź helpdesk
Ticket Type,Typ zgłoszenia
Enabling this will submit documents in background,Włączenie tej opcji spowoduje przesyłanie dokumentów w tle
Queue in Background (BETA),Kolejka w tle (BETA)
Please find attached,W załączeniu
Support Policy,Polityka wsparcia
Agent Configuration,Konfiguracja agenta
Team,Zespół
Ticket Analytics,Analiza zgłoszeń
Ticket Summary,Podsumowanie zgłoszeń
Percentage you are allowed to order beyond the Blanket Order quantity,"Procent, jaki możesz zamówić poza ilością zamówienia zbiorczego"
Helpdesk Reports,Raporty Helpdesk
Channels,Kanały
Supplier Portal Users,Użytkownicy portalu dostawcy
Portal Users,Użytkownicy portalu
Subcontracting Order,Zlecenie podwykonawstwa
Subcontracting Receipt,Potwierdzenie podwykonawstwa
Ticket Configuration,Konfiguracja zgłoszeń
Update frequency of Project,Częstotliwość aktualizacji projektu
How often should Project be updated of Total Purchase Cost ?,Jak często należy aktualizować całkowity koszt zakupu w projekcie?
Use Transaction Date Exchange Rate,Użyj Data transakcji Kurs wymiany
"While making Purchase Invoice from Purchase Order, use Exchange Rate on Invoice's transaction date rather than inheriting it from Purchase Order. Only applies for Purchase Invoice.","Podczas wystawiania faktury zakupu z zlecenia zakupu należy użyć kursu wymiany z daty transakcji faktury, a nie dziedziczyć go z zlecenia zakupu. Dotyczy tylko faktury zakupu."
"If checked, Rejected Quantity will be included while making Purchase Invoice from Purchase Receipt.","Jeśli opcja ta jest zaznaczona, odrzucona ilość zostanie uwzględniona podczas wystawiania faktury zakupu na podstawie paragonu zakupu."
Bill for Rejected Quantity in Purchase Invoice,Rachunek za odrzuconą ilość w fakturze zakupu
Auto Create Purchase Receipt,Automatyczne tworzenie potwierdzenia zakupu
Purchase Receipt (Draft) will be auto-created on submission of Subcontracting Receipt.,Potwierdzenie zakupu (wersja robocza) zostanie automatycznie utworzone po przedłożeniu pokwitowania podwykonawstwa.
"If set, only user with these roles can access this chart. If not set, DocType or Report permissions will be used.","Jeśli ustawione, tylko użytkownik z tymi rolami może uzyskać dostęp do tego wykresu. Jeśli nie zostaną ustawione, użyte zostaną uprawnienia DocType lub Report."
Auto Create Subcontracting Order,Automatyczne tworzenie zlecenia podwykonawstwa
Subcontracting Order (Draft) will be auto-created on submission of Purchase Order.,Zamówienie na podwykonawstwo (wersja robocza) zostanie automatycznie utworzone po złożeniu zamówienia zakupu.
Please mention 'Weight UOM' along with Weight.,"Należy podać Waga jednostkowa"" wraz z wagą."""
Page to show on the website,Strona do wyświetlenia w witrynie
Cannot enable {0} for a non-submittable doctype,Nie można włączyć {0} dla nieprzekazywalnego typu doctype
Page Size,Rozmiar strony
This will reset this tour and show it to all users. Are you sure?,Spowoduje to zresetowanie tej trasy i wyświetlenie jej wszystkim użytkownikom. Czy na pewno?
Please check OpenID Configuration URL,Sprawdź adres URL konfiguracji OpenID
Please select a country code for field {1}.,Wybierz kod kraju dla pola {1}.
Feedback {0} added successfully,Opinia {0} dodana pomyślnie
Code challenge method,Metoda kwestionowania kodu
Is Remote Request?,Czy zdalne żądanie jest możliwe?
descending,malejący
Please use a valid LDAP search filter,Użyj prawidłowego filtra wyszukiwania LDAP
Job Applicant {0} created successfully.,Pomyślnie utworzono kandydata do pracy {0}.
Last Heartbeat,Ostatnie uderzenie serca
Code Challenge,Code Challenge
Add / Remove Fields,Dodaj / usuń pola
Cannot Update After Submit,Nie można zaktualizować po przesłaniu
Create your first Quotation,Create your first Quotation
All Goals,Wszystkie cele
Data Clipped,Dane obcięte
Queue Type(s),Typ(y) ogona
User Type Module,Moduł typu użytkownika
Auto follow documents that are assigned to you,Automatyczne śledzenie przypisanych dokumentów
Benefits,Korzyści
Rounding Method,Metoda zaokrąglania
Google Analytics Anonimizacja adresu IP,Google Analytics Anonimizacja adresu IP
Use STARTTLS,Użycie STARTTLS
Workspace Number Card,Karta z numerem obszaru roboczego
Select a document to check if it meets conditions.,"Wybierz dokument, aby sprawdzić, czy spełnia warunki."
Invalid Table Fieldname,Nieprawidłowa nazwa pola tabeli
Dziękujemy za zakup naszych produktów. W załączniku przesyłamy potwierdzenie Twojego zamówienia.,Vielen Dank für den Kauf unserer Produkte. Anbei finden Sie die Bestätigung Ihrer Bestellung.
1 = True & 0 = False,1 = Prawda i 0 = Fałsz
Opportunity Summary by Sales Stage,Podsumowanie szansy sprzedaży według etapu sprzedaży
Lists,Listy
Rows with Same Account heads will be merged on Ledger,Wiersze z tymi samymi nagłówkami kont zostaną połączone w księdze.
Set Limit,Ustaw limit
Communication Channels,Kanały komunikacji
On Payment Authorization,Autoryzacja płatności
See previous responses,Zobacz poprzednie odpowiedzi
Invalid request arguments,Nieprawidłowe argumenty żądania
Unsafe SQL query,Niebezpieczne zapytanie SQL
Right Center,Prawe centrum
Please set Relieving Date for employee: {0},Ustaw datę zwolnienia pracownika: {0}
Authorization URI,Identyfikator URI autoryzacji
Add Roles,Dodaj role
WhatsApp Templates,Szablony WhatsApp
Fetch only if value is not set,Pobierz tylko jeśli wartość nie jest ustawiona
Save Customizations,Zapisywanie dostosowań
Price List Defaults,Domyślne ustawienia cennika
Please set the document name,Ustaw nazwę dokumentu
Number Card Name,Numer Nazwa karty
Additional Salary for referral bonus can only be created against Employee Referral with status {0},Dodatkowe wynagrodzenie z tytułu premii za polecenie można utworzyć tylko dla pracownika poleconego ze statusem {0}.
{0} filters,{0} filtrów
1:1,1:1
Company Tax ID,Identyfikator podatkowy firmy
You must add atleast one link.,Musisz dodać co najmniej jeden link.
Round off Work Experience,Zaokrąglij doświadczenie zawodowe
Default User Type,Domyślny typ użytkownika
Submit Feedback,Prześlij opinię
Is Query Report,Czy raport zapytania
Accounting & Payment,Księgowość i płatności
Hide Buttons,Ukryj przyciski
login_required,login_required
Select Payroll Frequency.,Wybierz opcję Częstotliwość listy płac.
Delete Workspace,Usuń obszar roboczy
Transit,Tranzyt
Hide Tags,Ukryj tagi
HRMS,HRMS
Last Reset Password Key Generated On,Klucz ostatniego resetowania hasła wygenerowany w dniu
Please set account in Salary Component {0},Ustaw konto w komponencie wynagrodzenia {0}.
Please Select Company First,Wybierz firmę jako pierwszą
Add to this activity by mailing to {0},"Dodaj do tego działania, wysyłając wiadomość na adres {0}"
Name error,Błąd nazwy
Salary Slip {0} failed for Payroll Entry {1},Odcinek wynagrodzenia {0} nie powiódł się przy wprowadzaniu listy płac {1}.
Add Employee Property,Dodaj właściwość pracownika
Attendance for the following dates will be skipped/overwritten on submission,Obecność w następujących terminach zostanie pominięta/nadpisana w momencie zgłoszenia
Cannot use {0} in order/group by,Nie można użyć {0} w kolejności/grupie według
How to Navigate in ERPNext,Jak nawigować w ERPNext
Opportunity  owner,Właściciel szansy sprzedaży
Department: {0},Dział: {0}
Role Allowed to Over Deliver/Receive,Rola umożliwiająca nadmierne dostawy/odbiory
Following Report Filters have missing values:,Następujące filtry raportów mają brakujące wartości:
Full and Final Statement,Pełne i ostateczne oświadczenie
"If checked, negative numeric values of Currency, Quantity or Count would be shown as positive","Jeśli zaznaczone, ujemne wartości liczbowe Currency, Quantity lub Count będą wyświetlane jako dodatnie"
Unlinked Attendance record from Employee Checkins: {},Niepowiązany rekord obecności z odpraw pracowników: {}
Can Submit,Można przesłać
Interview Feedback Reminder,Przypomnienie o informacji zwrotnej dotyczącej wywiadu
Your new password has been set successfully.,Nowe hasło zostało ustawione pomyślnie.
Toggle Full Width,Przełączanie pełnej szerokości
Save API Secret: {0},Save API Secret: {0}
LDAP Custom Settings,Ustawienia niestandardowe LDAP
Auto Repeat,Automatyczne powtarzanie
Fields `file_name` or `file_url` must be set for File,Pola `file_name` lub `file_url` muszą być ustawione dla pliku
Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2},"Przydzielono {0} urlopów za pośrednictwem harmonogramu w dniu {1} na podstawie opcji """"Przydziel w dniu"""" ustawionej na {2}."
"You can claim only an amount of {0}, the rest amount {1} should be in the application as pro-rata component","Możesz ubiegać się tylko o kwotę {0}, pozostała kwota {1} powinna znajdować się we wniosku jako składnik proporcjonalny"
80G Number,Numer 80G
Job ID,Job ID
Saving Customization...,Zapisywanie ustawień...
Viewed By,Obejrzane przez
"Changing KRA in this parent goal will align all the child goals to the same KRA, if any.","Zmiana KRA w tym celu nadrzędnym dostosuje wszystkie cele podrzędne do tego samego KRA, jeśli takie istnieją."
The File URL you've entered is incorrect,Wprowadzony adres URL pliku jest nieprawidłowy
Permissions Error,Błąd uprawnień
In Read Only Mode,W trybie tylko do odczytu
Email Sent At,E-mail wysłany na adres
The reset password link has been expired,Link do resetowania hasła wygasł
Mandatory fields required:,Wymagane pola obowiązkowe:
"This document allows you to edit limited fields. For all kinds of workspace customization, use the Edit button located on the workspace page","Ten dokument umożliwia edycję ograniczonych pól. Aby dostosować wszystkie rodzaje obszarów roboczych, należy użyć przycisku Edytuj znajdującego się na stronie obszaru roboczego"
{0} translation pending,{0} tłumaczenie w toku
SMTP Server is required,Wymagany jest serwer SMTP
Income Tax Deducted Till Date,Podatek dochodowy odliczony do dnia dzisiejszego
Invoice and Billing,Faktura i rozliczenie
Evaluation Method cannot be changed as there are existing appraisals created for this cycle,"Metody oceny nie można zmienić, ponieważ istnieją już oceny utworzone dla tego cyklu."
Are you sure you want to re-enable scheduler?,Czy na pewno chcesz ponownie włączyć harmonogram?
Light,Jasny
Attachment Limit Reached,Osiągnięty limit załączników
Blanket Order Quantity,Ilość zamówienia zbiorczego
Membership Webhook Secret,Sekret Webhook członkostwa
Queued {0} emails,Wiadomości e-mail w kolejce {0}
Filter By,Filtruj według
Incoming (POP/IMAP) Settings,Ustawienia przychodzące (POP/IMAP)
Material Request,Zgłoszenie Materiałowe
Employee: {0} have to complete minimum {1} years for gratuity,"Pracownik: {0} musi ukończyć minimum {1} lat, aby otrzymać gratyfikację"
Submit this document to confirm,"Prześlij ten dokument, aby potwierdzić"
Tasks,Zadania
End date: {0},Data zakończenia: {0}
Submit,Prześlij
Feedback Ratings,Oceny zwrotne
Failed to generate names from the series,Nie udało się wygenerować nazw z serii
Enter the Standard Working Hours for a normal work day. These hours will be used in calculations of reports such as Employee Hours Utilization and Project Profitability analysis.,"Wprowadź standardowe godziny pracy dla normalnego dnia pracy. Godziny te będą wykorzystywane w obliczeniach raportów, takich jak Wykorzystanie godzin pracowników i Analiza rentowności projektu."
Final Score,Wynik końcowy
Token URI,Token URI
Top Right,Prawy górny róg
Scripting / Style,Skrypty / Styl
Customer's Purchase Order,Numer Zamówienia Klienta
App Logo,Logo aplikacji
Please attach an image file to set HTML for Letter Head.,"Załącz plik graficzny, aby ustawić HTML dla nagłówka listu."
Adds a custom client script to a DocType,Dodaje niestandardowy skrypt klienta do typu DocType
Backdated Leave Application is restricted. Please set the {} in {},Wniosek o urlop z datą wsteczną jest ograniczony. Ustaw {} w {}.
"Link for About Us Page is """"/about"""".","Link do strony o nas to """"/about""""."
"Account type cannot be set for payroll payable account {0}, please remove and try again","Nie można ustawić typu konta dla konta do zapłaty listy płac {0}, usuń i spróbuj ponownie"
Submit another response,Prześlij kolejną odpowiedź
Opportunity source,Źródło szansy sprzedaży
Interview Status,Status wywiadu
Auto follow documents that you comment on,Automatyczne śledzenie komentowanych dokumentów
Not Assigned,Nie przypisano
Assigned To,Przypisano do
Are you sure you want to delete page {0}?,Czy na pewno chcesz usunąć stronę {0}?
click here,Kliknij tutaj
Element Selector,Selektor elementów
Please enter both your email and message so that we can get back to you. Thanks!,"Podaj swój adres e-mail i wiadomość, abyśmy mogli się z Tobą skontaktować. Dziękujemy!"
Compilation warning,Ostrzeżenie o kompilacji
plain,równina
Auto Create Exchange Rate Revaluation,Automatyczne tworzenie aktualizacji kursu wymiany
Module (for export),Moduł (dla eksportu)
Total Non-Billed Hours,Łączna liczba godzin niefakturowanych
Last Odometer Value,Ostatnia wartość licznika kilometrów
Create Leave Type,Utwórz typ urlopu
Income from Other Sources,Dochód z innych źródeł
No Suitable Slab found for Calculation of gratuity amount in Gratuity Rule: {0},Nie znaleziono odpowiedniej płyty do obliczenia kwoty odprawy w regule odprawy: {0}
Income Source,Źródło dochodu
Edit Header,Edytuj nagłówek
These settings are required if 'Custom' LDAP Directory is used,"Te ustawienia są wymagane, jeśli używany jest """"niestandardowy"""" katalog LDAP"
Appointment Scheduling Disabled,Wyłączone planowanie spotkań
Add Space at Bottom,Dodaj miejsce na dole
{0} Appraisal(s) are not submitted yet,{0} Oceny nie zostały jeszcze przesłane.
Try a naming Series,Wypróbuj serię nazewnictwa
Salary components should be part of the Salary Structure.,Składniki wynagrodzenia powinny być częścią struktury wynagrodzeń.
Condition and Formula Help,Pomoc dotycząca kondycji i formuły
Syntax error in condition: {0} in Income Tax Slab,Błąd składni w warunku: {0} w płycie podatku dochodowego
Error Logs,Dzienniki błędów
"By default, emails are only sent for failed backups.",Domyślnie wiadomości e-mail są wysyłane tylko w przypadku nieudanych kopii zapasowych.
Show link to document,Pokaż łącze do dokumentu
"If enabled, additional ledger entries will be made for discounts in a separate Discount Account","Jeśli opcja ta jest włączona, dodatkowe zapisy księgowe będą dokonywane dla rabatów na oddzielnym koncie rabatowym."
Following fields have missing values,Następujące pola mają brakujące wartości
Event Reminders,Przypomnienia o wydarzeniach
Content data shoud be a list,Dane treści powinny być listą
Clear Logs After (days),Wyczyść dzienniki po (dni)
Copy to Clipboard,Kopiuj do schowka
User Group Member,Członek grupy użytkowników
Queries,Zapytania
Leave and Expense Claim Settings,Ustawienia roszczeń urlopowych i wydatków
Invalid File URL,Nieprawidłowy adres URL pliku
SQL Query,Zapytanie SQL
Total Outgoing Bills,Suma rachunków wychodzących
Fuel Expenses,Wydatki na paliwo
Create Duplicate,Utwórz duplikat
Reports To,Raporty do
Route to the custom Job Application Webform,Trasa do niestandardowego formularza internetowego aplikacji Job Application
Unhide Workspace,Odkryj obszar roboczy
{0} changed {1} to {2},{0} zmienił {1} na {2}
Deadlock Occurred,Wystąpił impas
License Type,Typ licencji
"Number of attachment fields are more than {}, limit updated to {}.","Liczba pól załączników jest większa niż {}, limit zaktualizowany do {}."
Import Data from Spreadsheet,Importuj dane z arkusza kalkulacyjnego
No Salary Slip is found for Employee: {0},Nie znaleziono odcinka wynagrodzenia dla pracownika: {0}
Earnings & Deductions,Zarobki i odliczenia
Cannot change docstatus from 0 (Draft) to 2 (Cancelled),Nie można zmienić statusu dokumentu z 0 (wersja robocza) na 2 (anulowany).
Associated Document,Dokument powiązany
Additional Info,Dodatkowe informacje
Fulfillment User,Operator centrum logistycznego
Cannot delete standard document state.,Nie można usunąć stanu dokumentu standardowego.
Exit Questionnaire Pending,Kwestionariusz wyjścia w toku
Add a row below the current row,Dodanie wiersza poniżej bieżącego wiersza
Effective From,Obowiązuje od
Previous Document,Poprzedni dokument
Create or Edit Print Format,Tworzenie lub edytowanie formatu wydruku
Leaves for the Leave Type {0} won't be carry-forwarded since carry-forwarding is disabled.,"Urlopy dla typu urlopu {0} nie będą przenoszone, ponieważ przenoszenie jest wyłączone."
Item Name,Artikelname
Thanks,Dzięki
Select Country,Wybierz kraj
Message Type,Typ wiadomości
Extra Parameters,Dodatkowe parametry
{0} ${label},{0} ${label}
Group By {0},Group By {0}
Custom Document Types (Select Permission),Niestandardowe typy dokumentów (wybierz uprawnienia)
Requested By,Na wniosek
Earned Leaves are auto-allocated via scheduler based on the annual allocation set in the Leave Policy: {0},Zdobyte urlopy są automatycznie przydzielane za pośrednictwem harmonogramu na podstawie rocznego przydziału określonego w Polityce urlopowej: {0}
Add Border at Top,Dodaj obramowanie u góry
Set Properties,Ustaw właściwości
Item Manager,Menadżer asortymentu
PDF Page Width (in mm),Szerokość strony PDF (w mm)
{0} ${type},{0} ${type}
Avg Utilization (Billed Only),Średnie wykorzystanie (tylko rozliczane)
Track Steps,Śledzenie kroków
Edit Print Format,Edycja formatu wydruku
Add Video Conferencing,Dodaj wideokonferencje
{} wants to access the following details from your account,{} chce uzyskać dostęp do następujących danych z Twojego konta
Can't rename {0} to {1} because {0} doesn't exist.,"Nie można zmienić nazwy {0} na {1}, ponieważ {0} nie istnieje."
Gratuity Applicable Component,Gratuity Obowiązujący składnik
Enabled Scheduler,Harmonogram włączony
Update Order,Aktualizacja zamówienia
Show First Document Tour,Pokaż pierwszą wycieczkę po dokumentach
Data Import Log,Dziennik importu danych
Unallocated Amount,Nieprzydzielona kwota
Log In To {0},Zaloguj się do {0}
Cannot find file {} on disk,Nie można znaleźć pliku {} na dysku
"Łóżko piętrowe """"Bonini"""" - 2 osobowe korpus biały / wstawki błekitne + materac 120x200","Etagenbett """"Bonini"""" - 2-Personen-Körper weiß / blaue Einlagen + Matratze 120x200"
Release Notes,Informacje o wersji
Disable Last Purchase Rate,Wyłączenie stawki za ostatni zakup
Compensatory Off,Wyłączenie kompensacyjne
Rebuilding of tree is not supported for {},Odbudowa drzewa nie jest obsługiwana dla {}.
Manager,Menadżer
Utilization %,Wykorzystanie %
yyyy,rrrr
Delivery Note,Dokument dostawy
Sales Pipeline,Potencjał sprzedaży
System Manager privileges required.,Wymagane uprawnienia menedżera systemu.
Helpful,Pomocny
Leaves you can avail against a holiday you worked on. You can claim Compensatory Off Leave using Compensatory Leave request. Click,"Urlopy, z których można skorzystać w zamian za przepracowany urlop. Możesz ubiegać się o urlop wyrównawczy, korzystając z wniosku o urlop wyrównawczy. Kliknij"
Fixed Asset Defaults,Wartość domyślna środka trwałego
Nothing left to redo,Nic nie zostało do przerobienia
Has Next Condition,Ma następny warunek
Grievance Type,Typ skargi
We do not allow editing of this document. Simply click the Edit button on the workspace page to make your workspace editable and customize it as you wish,"Nie zezwalamy na edycję tego dokumentu. Wystarczy kliknąć przycisk Edytuj na stronie obszaru roboczego, aby umożliwić edycję obszaru roboczego i dostosować go według własnego uznania"
Donation,Darowizna
Add {0},Add {0}
Can only list down the document types which has been linked to the User document type.,"Może wyświetlać tylko typy dokumentów, które zostały powiązane z typem dokumentu użytkownika."
Stock Planning,Planowanie zapasów
Use the new Print Format Builder,Użyj nowego narzędzia do tworzenia formatów wydruku
Manage Items,Zarządzaj Asortymentem
Show List,Pokaż listę
Row # {0}: Non administrator user can not set the role {1} to the custom doctype,Wiersz # {0}: Użytkownik niebędący administratorem nie może ustawić roli {1} na niestandardowy typ dokumentu
Total Images,Łączna liczba obrazów
Enable Custom Cash Flow Format,Włącz niestandardowy format przepływów pieniężnych
Number of days after which the document Web View link shared on email will be expired,"Liczba dni, po których link do widoku internetowego dokumentu udostępniony w wiadomości e-mail wygaśnie."
Cannot create Salary Slip for Employee who has left before Payroll Period,"Nie można utworzyć odcinka wynagrodzenia dla pracownika, który odszedł przed okresem rozliczeniowym."
Invalid Operation,Nieprawidłowa operacja
Create New Kanban Board,Utwórz nową tablicę Kanban
Webhook Request Log,Dziennik żądań Webhook
Incoming Bills (Purchase Invoice),Przychodzące rachunki (faktura zakupu)
Organizational Chart,Schemat organizacyjny
"Employee can be named by Employee ID if you assign one, or via Naming Series. Select your preference here.","Pracownik może zostać nazwany za pomocą identyfikatora pracownika (Employee ID), jeśli taki został przypisany, lub za pomocą serii nazw (Naming Series). Wybierz swoje preferencje tutaj."
Users with this role are allowed to over deliver/receive against orders above the allowance percentage,Użytkownicy z tą rolą mogą dostarczać/odbierać zamówienia przekraczające limit procentowy.
Invalid aggregate function,Nieprawidłowa funkcja agregująca
Module Settings,Ustawienia modułu
The following values are invalid: {0}. Values must be one of {1},Następujące wartości są nieprawidłowe: {0}. Wartość musi być jedną z {1}
Show Labels,Pokaż etykiety
Please select employee first,Wybierz pracownika jako pierwszego
Sending...,Wysyłanie...
You can change the retention policy from {0}.,Politykę przechowywania można zmienić z {0}.
ERPtech,ERPtech
DocType,Typ dokumentu
Number of Queries,Liczba zapytań
Your Interview session is rescheduled from {0} {1} - {2} to {3} {4} - {5},Sesja rozmowy kwalifikacyjnej została przełożona z {0} {1} - {2} na {3} {4} - {5}
FnF Pending,FnF w toku
new-payment-term-,nowy-termin-płatności-
Employee {0} not found in Training Event Participants.,Pracownik {0} nie został znaleziony wśród uczestników wydarzenia szkoleniowego.
Let's Set Up Your Accounts and Taxes.,Skonfigurujmy konta i podatki.
The system is being updated. Please refresh again after a few moments.,System jest w trakcie aktualizacji. Odśwież ponownie po kilku chwilach.
X Field,X Pole
Auto Insert Item Price If Missing,Automatyczne wstawianie ceny pozycji w przypadku braku
Employees cannot give feedback to themselves. Use {0} instead: {1},Pracownicy nie mogą przekazywać informacji zwrotnych samym sobie. Zamiast tego należy użyć {0}: {1}
Error connecting via IMAP/POP3: {e},Błąd połączenia przez IMAP/POP3: {e}
Time in Queries (ms),Czas w zapytaniach (ms)
Setting,Ustawienie
Add Tags,Dodaj tagi
Employee Image,Wizerunek pracownika
To(Year),Do(Rok)
Event Frequency,Częstotliwość zdarzeń
Onboarding Activities,Działania wdrożeniowe
Whereas allocation for Compensatory Leaves is automatically created or updated on submission of Compensatory Leave Request.,Przydział urlopów wyrównawczych jest automatycznie tworzony lub aktualizowany po złożeniu wniosku o urlop wyrównawczy.
{0} submitted this document {1},{0} przesłał ten dokument {1}
Send again,Wyślij ponownie
You have already verified,Użytkownik został już zweryfikowany
Set Naming Series options on your transactions.,Ustaw opcje serii nazw w transakcjach.
Appraisal creation is queued. It may take a few minutes.,Tworzenie oceny jest w kolejce. Może to potrwać kilka minut.
Employee Transfer cannot be submitted before Transfer Date,Przeniesienie pracownika nie może zostać złożone przed datą przeniesienia
"If mentioned, the system will allow only the users with this Role to create or modify any stock transaction earlier than the latest stock transaction for a specific item and warehouse. If set as blank, it allows all users to create/edit back-dated transactions.","Jeśli opcja ta zostanie zaznaczona, system zezwoli tylko użytkownikom z tą rolą na tworzenie lub modyfikowanie transakcji magazynowych wcześniejszych niż ostatnia transakcja magazynowa dla określonej pozycji i magazynu. Jeśli jest ustawiona jako pusta, zezwala wszystkim użytkownikom na tworzenie/edycję transakcji z datą wsteczną."
From Lead,Od tropu
Notification Type,Typ powiadomienia
You can continue with the onboarding after exploring this page,Po zapoznaniu się z tą stroną można kontynuować wdrażanie.
Why is this Candidate Qualified for this Position?,Dlaczego ten kandydat kwalifikuje się na to stanowisko?
Overlapping Shift Attendance,Obecność na nakładających się zmianach
Type here. Use markdown to format.,Wpisz tutaj. Użyj markdown do formatowania.
Assignment of {0} removed by {1},Przypisanie {0} usunięte przez {1}
Auto creates Payment Entry for Donations created from web forms.,Automatycznie tworzy wpis płatności dla darowizn utworzonych z formularzy internetowych.
{count} cells copied,{liczba} skopiowanych komórek
Fractional Cost,Koszt ułamkowy
Unable to send mail because of a missing email account. Please setup default Email Account from Setup > Email > Email Account,Nie można wysłać poczty z powodu braku konta e-mail. Skonfiguruj domyślne konto e-mail w menu Konfiguracja > E-mail > Konto e-mail.
Invalid Fieldname,Nieprawidłowa nazwa pola
Database Processes,Procesy bazy danych
"By """"Naming Series"""" field","Według pola """"Naming Series"
"Awesome, now try making an entry yourself","Niesamowite, teraz spróbuj sam dokonać wpisu"
Show Processlist,Pokaż listę procesów
Dec,Gru
Invoice Portion (%),Fragment faktury (%)
Send Email At,Wyślij wiadomość e-mail na adres
Net Pay (Company Currency),Wynagrodzenie netto (waluta firmy)
Total Receivable Amount,Całkowita kwota należności
Library,Biblioteka
Hide Saved,Ukryj zapisane
No filters selected,Nie wybrano żadnych filtrów
Mark the cycle as {0} if required.,W razie potrzeby oznacz cykl jako {0}.
Report Setting,Ustawienia raportu
Unknown Rounding Method: {},Nieznana metoda zaokrąglania: {}
List,Lista
Include Name Field,Dołącz pole nazwy
Filter Employees,Filtruj pracowników
Exit Questionnaire Notification,Powiadomienie o kwestionariuszu wyjścia
Employees without Feedback: {0},Pracownicy bez informacji zwrotnej: {0}
Row #{}: Fieldname is required,Wiersz #{}: Nazwa pola jest wymagana
My Profile,Mój profil
Total Billing Amount (via Time Sheet),Łączna kwota rozliczenia (za pośrednictwem karty czasu pracy)
Won Opportunities,Wygrane szanse sprzedaży
Free,Darmowy
Show {0} List,Pokaż listę {0}
"Set """"From(Year)"""" and """"To(Year)"""" to 0 for no upper and lower limit.","Ustaw """"From(Year)"""" i """"To(Year)"""" na 0, aby nie było górnego i dolnego limitu."
Move cursor to previous column,Przesunięcie kursora do poprzedniej kolumny
Document has been cancelled,Dokument został anulowany
Exact Copies,Dokładne kopie
Delete Accounting and Stock Ledger Entries on deletion of Transaction,Usuwanie wpisów księgi rachunkowej i księgi magazynowej po usunięciu transakcji
{0} View,{0} Widok
Goal should be owned by the same employee as its parent goal.,"Cel powinien należeć do tego samego pracownika, co jego cel nadrzędny."
Are you sure you want to remove all failed jobs?,Czy na pewno chcesz usunąć wszystkie nieudane zadania?
Cannot create a Job Applicant against a closed Job Opening,Nie można utworzyć kandydata do pracy w związku z zamkniętym otwarciem oferty pracy.
Recents,Ostatnie wydarzenia
Let’s walk-through few Buying Settings,Przejdźmy przez kilka ustawień zakupu
{0} criticism point for {1},{0} punkt krytyczny dla {1}
Unsubmitted Appraisals,Nieprzesłane oceny
Your browser does not support the video element.,Twoja przeglądarka nie obsługuje elementu wideo.
